year,VERMONT MALE/Predictions
1994,97
1996,120
1998,110
2000,131
2002,116
2004,147
2006,130
2008,146
2010,126
2012,146
2014,93
2016,144
2018,132
2020,163
2022,147
2024,149
2026,152
2028,154
2030,157
