year,SOUTH CAROLINA WHITE/Predictions
1994,872
1996,1127
1998,3
2000,1310
2002,1003
2004,1387
2006,935
2008,1466
2010,1190
2012,1515
2014,1075
2016,1529
2018,1276
2020,1845
2022,1656
2024,1720
2026,1783
2028,1847
2030,1910
