year,DELAWARE MALE/Predictions
1994,104
1996,133
1998,99
2000,155
2002,109
2004,174
2006,124
2008,184
2010,147
2012,196
2014,139
2016,183
2018,167
2020,223
2022,201
2024,208
2026,214
2028,221
2030,227
