year,DISTRICT OF COLUMBIA MALE/Predictions
1994,106
1996,106
1998,73
2000,114
2002,82
2004,118
2006,79
2008,132
2010,84
2012,154
2014,118
2016,168
2018,141
2020,200
2022,165
2024,171
2026,178
2028,184
2030,190
