year,NEVADA TOTAL/Predictions
1994,437
1996,562
1998,429
2000,641
2002,585
2004,871
2006,686
2008,1027
2010,731
2012,1048
2014,693
2016,1195
2018,1006
2020,1351
2022,1237
2024,1294
2026,1352
2028,1410
2030,1468
