year,ILLINOIS WHITE/Predictions
1994,3068
1996,3914
1998,156
2000,4043
2002,3366
2004,4708
2006,3262
2008,4520
2010,3225
2012,4275
2014,3070
2016,4636
2018,3802
2020,4849
2022,4571
2024,4696
2026,4820
2028,4945
2030,5070
