year,SOUTH DAKOTA TOTAL/Predictions
1994,317
1996,336
1998,268
2000,311
2002,375
2004,378
2006,358
2008,390
2010,322
2012,370
2014,273
2016,362
2018,331
2020,380
2022,360
2024,362
2026,365
2028,368
2030,370
