year,VIRGINIA HISPANIC ORIGIN/Predictions
1994,28
1996,31
1998,251
2000,90
2002,14
2004,70
2006,33
2008,74
2010,48
2012,103
2014,60
2016,219
2018,112
2020,218
2022,150
2024,157
2026,165
2028,172
2030,179
