year,NEW YORK WHITE/Predictions
1994,5418
1996,5768
1998,465
2000,5845
2002,4529
2004,6366
2006,4397
2008,6166
2010,4721
2012,5781
2014,3683
2016,6049
2018,5129
2020,6443
2022,5787
2024,5885
2026,5983
2028,6081
2030,6179
