year,ALABAMA BLACK/Predictions
1994,328
1996,417
1998,1228
2000,491
2002,336
2004,511
2006,401
2008,547
2010,403
2012,560
2014,414
2016,579
2018,483
2020,533
2022,482
2024,478
2026,473
2028,469
2030,464
