year,MICHIGAN BLACK/Predictions
1994,514
1996,528
1998,3070
2000,534
2002,428
2004,599
2006,546
2008,679
2010,407
2012,627
2014,438
2016,623
2018,557
2020,628
2022,391
2024,346
2026,302
2028,257
2030,212
