year,CALIFORNIA FEMALE/Predictions
1994,5522
1996,5861
1998,4999
2000,6027
2002,4396
2004,6785
2006,5298
2008,7398
2010,5565
2012,7137
2014,4708
2016,7583
2018,7035
2020,8882
2022,7592
2024,7774
2026,7956
2028,8138
2030,8320
