year,CALIFORNIA MALE/Predictions
1994,4895
1996,5218
1998,4594
2000,5463
2002,3960
2004,6022
2006,4806
2008,6429
2010,5160
2012,6326
2014,4240
2016,6833
2018,6205
2020,8012
2022,6800
2024,6962
2026,7124
2028,7286
2030,7449
