year,RHODE ISLAND FEMALE/Predictions
1994,195
1996,238
1998,184
2000,245
2002,192
2004,253
2006,234
2008,279
2010,180
2012,257
2014,177
2016,251
2018,217
2020,269
2022,243
2024,245
2026,247
2028,249
2030,252
