year,MISSOURI MALE/Predictions
1994,999
1996,1094
1998,838
2000,1217
2002,931
2004,1299
2006,1095
2008,1318
2010,941
2012,1321
2014,863
2016,1328
2018,1162
2020,1361
2022,1266
2024,1284
2026,1303
2028,1322
2030,1340
