year,NORTH DAKOTA HISPANIC ORIGIN/Predictions
1994,0
1996,1
1998,0
2000,0
2002,1
2004,2
2006,1
2008,1
2010,0
2012,6
2014,2
2016,4
2018,7
2020,5
2022,5
2024,5
2026,6
2028,6
2030,7
