year,NEW HAMPSHIRE MALE/Predictions
1994,170
1996,249
1998,170
2000,271
2002,229
2004,320
2006,229
2008,337
2010,234
2012,322
2014,246
2016,327
2018,280
2020,375
2022,343
2024,353
2026,363
2028,373
2030,383
