year,MICHIGAN MALE/Predictions
1994,1699
1996,1865
1998,1689
2000,2057
2002,1707
2004,2261
2006,1946
2008,2249
2010,1606
2012,2273
2014,1551
2016,2150
2018,2072
2020,2378
2022,2176
2024,2205
2026,2233
2028,2261
2030,2290
