year,FLORIDA BLACK/Predictions
1994,398
1996,575
1998,3882
2000,620
2002,583
2004,815
2006,642
2008,985
2010,725
2012,1104
2014,929
2016,1051
2018,1094
2020,1375
2022,1018
2024,1013
2026,1009
2028,1004
2030,999
