year,IDAHO FEMALE/Predictions
1994,207
1996,261
1998,207
2000,268
2002,222
2004,311
2006,274
2008,331
2010,263
2012,357
2014,248
2016,368
2018,301
2020,433
2022,376
2024,387
2026,399
2028,411
2030,422
