year,MASSACHUSETTS BLACK/Predictions
1994,94
1996,98
1998,2042
2000,158
2002,138
2004,127
2006,97
2008,145
2010,93
2012,211
2014,80
2016,242
2018,194
2020,142
2022,32
2024,0
2026,-32
2028,-64
2030,-97
