year,VERMONT WHITE/Predictions
1994,210
1996,256
1998,1
2000,290
2002,252
2004,308
2006,267
2008,300
2010,259
2012,293
2014,202
2016,293
2018,263
2020,332
2022,313
2024,322
2026,330
2028,338
2030,347
