year,GEORGIA TOTAL/Predictions
1994,1822
1996,2632
1998,2090
2000,2827
2002,2431
2004,3332
2006,2672
2008,4183
2010,2865
2012,4168
2014,2919
2016,4246
2018,4084
2020,4888
2022,4621
2024,4807
2026,4993
2028,5179
2030,5365
