N-H Black,442,337,302
API,88,34,30
Hispanic,38,13,13
White,3526,2649,2324
Black,449,340,305
MONTANA-Total,658,461,409
Male,329,224,198
Female,329,237,212
N-H White,608,430,385
N-H Black,,,
API,3,1,1
Hispanic,13,9,8
White,620,439,392
Black,,,
NEBRASKA-Total,1205,865,710
Male,579,394,331
Female,626,471,379
N-H White,1078,800,661
N-H Black,46,30,23
API,14,8,7
Hispanic,56,20,15
White,1133,820,675
Black,46,30,23
NEVADA-Total,1377,720,641
Male,693,349,310
Female,683,371,331
N-H White,945,578,525
N-H Black,105,51,41
API,92,25,18
Hispanic,220,53,45
White,1144,625,563
Black,112,55,44
NEW HAMPSHIRE-Total,902,628,571
Male,442,301,271
Female,461,327,300
N-H White,848,607,551
N-H Black,13,10,9
API,23,4,4
Hispanic,14,4,4
White,862,610,555
Black,13,10,9
NEW JERSEY-Total,6109,3859,3374
Male,2919,1820,1602
Female,3190,2039,1772
N-H White,4492,3151,2760
N-H Black,753,405,356
API,278,87,77
Hispanic,583,212,179
White,5033,3346,2926
Black,787,422,369
NEW MEXICO-Total,1261,750,647
Male,591,332,286
Female,670,419,361
N-H White,592,435,392
N-H Black,29,15,9
API,7,2,2
Hispanic,484,239,191
White,1064,670,581
Black,36,18,9
NEW YORK-Total,13725,8047,7004
Male,6613,3710,3251
Female,7112,4337,3753
N-H White,9115,6155,5393
N-H Black,1989,1078,950
API,908,209,157
Hispanic,1706,603,502
White,10602,6696,5845
Black,2181,1133,996
NORTH CAROLINA-Total,5629,3720,2995
Male,2626,1693,1361
Female,3003,2026,1633
N-H White,3895,2784,2296
N-H Black,1310,827,626
API,77,8,2
Hispanic,255,31,22
White,4143,2812,2317
Black,1315,827,626
NORTH DAKOTA-Total,449,409,313
Male,222,202,155
Female,228,208,159
N-H White,422,388,302
N-H Black,2,2,1
API,2,1,
Hispanic,3,2,
White,425,389,303
Black,2,2,1
OHIO-Total,8301,5561,4823
Male,3916,2559,2201
Female,4385,3002,2622
N-H White,7147,4869,4239
N-H Black,931,598,500
API,96,32,27
Hispanic,106,47,43
White,7250,4913,4280
Black,934,601,502
OKLAHOMA-Total,2457,1679,1431
Male,1155,761,653
Female,1302,918,778
N-H White,2102,1483,1269
N-H Black,115,66,51
API,38,16,14
Hispanic,76,26,21
White,2169,1507,1287
Black,115,66,51
OREGON-Total,2515,1714,1529
Male,1219,806,712
Female,1296,908,817
N-H White,2181,1605,1444
N-H Black,34,20,17
API,85,25,21
Hispanic,193,48,33
White,2372,1652,1477
Black,34,20,17
PENNSYLVANIA-Total,8950,5847,4988
Male,4287,2836,2373
Female,4663,3011,2615
N-H White,7805,5170,4414
N-H Black,746,524,457
API,137,42,37
Hispanic,248,99,68
White,8015,5269,4482
Black,764,524,457
RHODE ISLAND-Total,729,508,438
Male,339,230,193
Female,390,279,245
N-H White,649,483,415
N-H Black,38,14,13
API,9,4,3
Hispanic,30,4,4
White,670,488,419
Black,38,14,13
SOUTH CAROLINA-Total,2929,1993,1725
Male,1355,869,752
Female,1575,1124,973
N-H White,2171,1516,1303
N-H Black,662,454,402
API,23,10,10
Hispanic,62,7,7
White,2233,1524,1310
Black,662,454,402
SOUTH DAKOTA-Total,530,376,311
Male,263,184,149
Female,266,192,162
N-H White,495,355,297
N-H Black,5,2,1
API,2,,
Hispanic,4,2,1
White,498,357,298
Black,5,2,1
TENNESSEE-Total,4173,2590,2183
Male,2036,1239,1042
Female,2137,1351,1142
N-H White,3422,2149,1825
N-H Black,658,427,344
API,23,3,3
Hispanic,67,11,11
White,3489,2160,1836
Black,658,427,344
TEXAS-Total,14533,8929,7005
Male,7079,4189,3305
Female,7454,4740,3700
N-H White,8223,5901,4761
N-H Black,1380,958,798
API,451,135,120
Hispanic,4414,1905,1300
White,12572,7771,6042
Black,1397,971,803
UTAH-Total,1472,953,829
Male,724,453,386
Female,748,500,443
N-H White,1313,913,798
N-H Black,4,4,4
API,46,9,7
Hispanic,104,24,20
White,1414,934,815
Black,4,4,4
VERMONT-Total,458,330,290
Male,221,152,131
Female,238,178,159
N-H White,451,328,288
N-H Black,1,,
API,2,,
Hispanic,3,2,2
White,454,329,290
Black,1,,
VIRGINIA-Total,5177,3317,2962
Male,2431,1512,1344
Female,2745,1805,1619
N-H White,3719,2568,2300
N-H Black,1003,583,529
API,205,59,42
Hispanic,234,106,90
White,3930,2658,2375
Black,1010,586,532
WASHINGTON-Total,4314,2852,2527
Male,2053,1361,1196
Female,2261,1491,1331
N-H White,3734,2589,2346
N-H Black,123,62,39
API,213,90,60
Hispanic,167,71,59
White,3890,2656,2400
Black,123,62,39
WEST VIRGINIA-Total,1405,886,732
Male,654,412,341
Female,750,475,390
N-H White,1349,856,708
N-H Black,45,29,22
API,4,,
Hispanic,7,1,1
White,1355,857,709
Black,45,29,22
WISCONSIN-Total,3884,2970,2632
Male,1912,1420,1266
Female,1972,1551,1367
N-H White,3503,2784,2469
N-H Black,147,105,91
API,48,30,30
Hispanic,159,34,31
White,3653,2815,2496
Black,147,105,91
WYOMING-Total,350,240,219
Male,176,118,105
Female,175,122,114
N-H White,324,228,211
N-H Black,1,1,1
API,,,
Hispanic,19,9,6
White,342,236,217
Black,1,1,1
Note:  The symbol B means that the base is too small to show the derived measure.,,,
N-H represents Non-Hispanic.  API includes Asian and Pacific Islander.,,,
Hispanics may be of any race.,,,
-  Represents zero or rounds to zero.,,,
